Browser,screenW,workerid,OS,screenH
Chrome,1280,323,Windows,960
Chrome,1920,324,Mac,1080
Chrome,1366,325,Windows,768
Chrome,1920,326,Windows,1080
Chrome,1440,327,Windows,900
Chrome,1600,328,Windows,900
Chrome,1366,329,Windows,768
Chrome,1366,330,Linux,768
Chrome,1440,331,Mac,900
Chrome,1920,332,Windows,1080
Chrome,1440,333,Mac,900
Chrome,1280,334,Windows,1024
Chrome,2560,335,Mac,1440
Firefox,1280,336,Windows,1024
Chrome,1920,337,Windows,1080
Chrome,1280,338,Windows,720
Chrome,1366,339,Linux,768
Chrome,1920,340,Windows,1080
Chrome,1280,341,Mac,800
Chrome,1280,342,Windows,720
Chrome,1536,343,Windows,864
Chrome,1920,344,Windows,1080
Chrome,1366,345,Windows,768
Chrome,1680,346,Windows,1050
Chrome,412,347,Linux,732
Firefox,1366,348,Windows,768
Chrome,1680,349,Mac,1050
Chrome,1707,350,Windows,960
Chrome,1920,351,Windows,1080
Firefox,1286,352,Windows,965
Chrome,1680,353,Windows,1050
Chrome,1200,354,Linux,800
Chrome,1280,355,Windows,800
Firefox,1536,356,Windows,864
Chrome,1280,357,Windows,800
Chrome,1366,358,Linux,768
Chrome,1536,359,Windows,864
Chrome,1600,360,Windows,900
Chrome,1360,361,Windows,768
Chrome,1366,362,Windows,768
Firefox,1280,363,Mac,800
Chrome,1536,364,Windows,864
Chrome,1360,365,Windows,768
Chrome,1920,366,Mac,1080
Safari,1920,367,Mac,1080
Firefox,1600,368,Windows,900
Chrome,1366,369,Windows,768
Chrome,1366,370,Linux,768
Chrome,1600,371,Windows,900
Chrome,1440,372,Windows,900
Chrome,1920,373,Windows,1080
Firefox,1536,374,Windows,864
Chrome,1680,375,Mac,1050
Chrome,360,376,Linux,640
Chrome,1366,377,Windows,768
Chrome,1366,378,Windows,768
Chrome,1920,379,Windows,1080
Safari,1440,380,Mac,900
Chrome,2560,381,Mac,1440
Chrome,1366,382,Windows,768
Chrome,1366,383,Linux,768
Chrome,1536,384,Windows,864
Chrome,1366,385,Windows,768
Chrome,1366,386,Windows,768
Chrome,1600,387,Windows,900
Chrome,1366,388,Linux,768
Chrome,1400,389,Windows,1050
Chrome,1920,390,Windows,1080
Chrome,1440,391,Windows,900
Chrome,1440,392,Mac,900
Chrome,1920,393,Windows,1080
Chrome,1092,394,Linux,614
Chrome,1366,395,Windows,768
Chrome,1280,396,Windows,720
Firefox,1920,397,Windows,1080
Chrome,1366,398,Windows,768
Chrome,1920,399,Windows,1080
Chrome,1075,400,Windows,672
Chrome,1368,401,Windows,912
Chrome,360,402,Linux,640
Chrome,1280,403,Mac,800
Firefox,1366,404,Windows,768
Firefox,1536,405,Windows,864
Chrome,1600,406,Windows,900
Chrome,1366,407,Windows,768
Chrome,1920,408,Windows,1080
Chrome,1366,409,Windows,768
Chrome,1366,410,Windows,768
Chrome,1366,411,Windows,768
Chrome,1366,412,Linux,768
Safari,375,413,iPhone/iPod,667
Firefox,1366,414,Windows,768
Safari,1440,415,Mac,900
Safari,768,416,Mac,1024
Chrome,1366,417,Windows,768
Chrome,1920,418,Windows,1080
Chrome,1920,419,Windows,1080
Chrome,1500,420,Windows,1000
Chrome,1600,421,Windows,900
Chrome,2560,422,Mac,1440
Chrome,1500,423,Linux,1000
Chrome,1368,424,Windows,912
Chrome,1366,425,Windows,768
Firefox,1680,426,Windows,1050
Chrome,1536,427,Windows,864
Chrome,1536,428,Windows,864
Chrome,1301,429,Windows,731
Firefox,2176,430,Windows,1224
Chrome,1366,431,Windows,768
Chrome,1920,432,Windows,1080
Chrome,1280,433,Mac,800
Chrome,1536,434,Windows,864
Chrome,1366,435,Windows,768
Chrome,1280,436,Windows,720
Chrome,1504,437,Windows,1003
Chrome,360,438,Linux,640
Chrome,1920,439,Windows,1080
Chrome,1440,440,Mac,900
Chrome,1920,441,Windows,1080
Chrome,1366,442,Windows,768
Chrome,1920,443,Windows,1080
Chrome,1280,444,Mac,800
Firefox,1600,445,Windows,900
Chrome,1524,446,Windows,858
Safari,768,447,Mac,1024
Chrome,1366,448,Windows,768
Chrome,1600,449,Windows,900
Chrome,1366,450,Windows,768
Chrome,1920,451,Linux,1080
Chrome,1366,452,Linux,768
Chrome,1440,453,Windows,960
Safari,768,454,an unknown OS,1024
Chrome,1366,455,Windows,768
Chrome,1366,456,Windows,768
Chrome,1280,457,Mac,800
Chrome,1366,458,Windows,768
Firefox,1440,459,Windows,900
Firefox,1525,460,Windows,858
Chrome,1536,461,Windows,864
Chrome,412,462,Linux,732
Chrome,1920,463,Windows,1080
Firefox,800,464,Windows,450
Chrome,1920,465,Windows,1080
Chrome,1366,466,Windows,768
Chrome,1536,467,Windows,864
Chrome,1280,468,Windows,1024
Chrome,1536,469,Linux,864
Chrome,1920,470,Windows,1080
Firefox,1280,471,Windows,1024
Chrome,1366,472,Windows,768
Chrome,1366,473,Linux,768
Chrome,1680,474,Windows,1050
Firefox,1920,475,Windows,1080
Firefox,1536,476,Windows,864
Chrome,1920,477,Windows,1080
Chrome,1280,478,Mac,800
Chrome,1440,479,Mac,900
Safari,1440,480,Mac,900
Chrome,1366,481,Windows,768
Chrome,1366,482,Windows,768
Chrome,1360,483,Windows,768
Chrome,1366,484,Windows,768
Chrome,1600,485,Windows,900
Chrome,1229,486,Windows,692
Chrome,1280,487,Windows,720
Chrome,1366,488,Windows,768
Chrome,2560,489,Windows,1440
Chrome,1600,490,Windows,900
Chrome,1366,491,Windows,768
Chrome,320,492,Linux,570
Chrome,1366,493,Windows,768
Chrome,1280,494,Windows,720
Chrome,1440,495,Mac,900
Safari,414,496,iPhone/iPod,896
Chrome,1366,497,Windows,768
Chrome,1366,498,Windows,768
Chrome,1920,499,Windows,1080
Chrome,1280,500,Mac,800
Chrome,1600,501,Windows,900
Chrome,1600,502,Windows,900
Firefox,1760,503,Windows,990
Chrome,1138,504,Linux,640
Chrome,1366,505,Windows,768
Chrome,1242,506,Windows,699
Chrome,1440,507,Windows,900
Chrome,1366,508,Linux,768
Firefox,1408,509,Windows,792
Chrome,1366,510,Windows,768
Chrome,412,511,Linux,823
Chrome,1920,512,Windows,1080
Chrome,1920,513,Windows,1080
Firefox,1920,514,Windows,1080
Chrome,1536,515,Linux,864
Firefox,1366,516,Windows,768
Chrome,1536,517,Windows,864
Chrome,1366,518,Windows,768
Chrome,1920,519,Windows,1080
Chrome,1366,520,Windows,768
Chrome,1366,521,Windows,768
Chrome,1097,522,Windows,617
Chrome,1680,523,Windows,1050
Chrome,1280,524,Windows,1024
Chrome,1920,525,Windows,1080
Chrome,360,526,Linux,640
Chrome,1536,527,Windows,864
Chrome,1920,528,Windows,1080
Chrome,1920,529,Windows,1080
Chrome,1280,530,Windows,768
Chrome,1280,531,Windows,720
Firefox,1280,532,Windows,960
Chrome,1280,533,Linux,1024
Chrome,1366,534,Windows,768
Chrome,1280,535,Linux,800
Chrome,800,536,Linux,1280
Chrome,1920,537,Windows,1080
Chrome,1600,538,Windows,900
Chrome,1440,539,Mac,900
Safari,1440,540,Mac,900
Chrome,1920,541,Windows,1080
Chrome,1920,542,Windows,1080
Chrome,360,543,Linux,640
Chrome,1600,544,Windows,1200
Firefox,414,545,Linux,783
Safari,414,546,iPhone/iPod,736
Firefox,1366,547,Windows,768
Chrome,1440,548,Mac,900
Chrome,1920,549,Windows,1080
Chrome,1536,550,Linux,864
Chrome,1366,551,Windows,768
Chrome,1920,552,Windows,1080
Chrome,1364,553,Windows,768
Chrome,1600,554,Mac,900
Chrome,1366,555,Windows,768
Chrome,1920,556,Windows,1080
Mozilla,1024,557,Windows,576
Chrome,1920,558,Windows,1080
Chrome,1280,559,Windows,720
Chrome,1366,560,Windows,768
Chrome,1536,561,Windows,864
Chrome,1600,562,Windows,900
Chrome,1920,563,Windows,1080
Chrome,1680,564,Mac,1050
Chrome,1280,565,Windows,720
Chrome,1280,566,Windows,720
Chrome,1920,567,Windows,1080
Safari,414,568,iPhone/iPod,896
Firefox,1536,569,Windows,864
Chrome,1280,570,Windows,720
Chrome,1536,571,Windows,864
Chrome,1920,572,Windows,1080
Firefox,1231,573,Windows,821
Firefox,1920,574,Linux,1080
Firefox,1920,575,Windows,1080
Chrome,1536,576,Windows,864
Chrome,1920,577,Windows,1080
Chrome,1536,578,Windows,864
Chrome,1366,579,Windows,768
Firefox,1366,580,Windows,768
Chrome,1536,581,Windows,864
Chrome,1600,582,Windows,900
Chrome,1280,583,Mac,800
Chrome,1920,584,Windows,1200
Firefox,1536,585,Windows,864
Chrome,1920,586,Windows,1080
Chrome,1280,587,Mac,800
Chrome,1707,588,Windows,1067
Safari,1440,589,Mac,900
Chrome,1680,590,Windows,1050
Mozilla,1280,591,Windows,720
Chrome,1680,592,Mac,1050
Firefox,1920,593,Mac,1080
Firefox,1920,594,Windows,1080
Chrome,1920,595,Windows,1080
Chrome,1366,596,Windows,768
Chrome,1366,597,Mac,768
Chrome,1920,598,Windows,1080
Chrome,1280,599,Mac,800
